French,English
L'INDIVIDU-L'Actionnaire important (5% et plus),INDIVIDUAL - Significant Shareholder (5% and above)
% Holding,% Holding
L'ENTREPRISE-L'Actionnaire important (5% et plus),CORPORATE - Significant Shareholder (5% and above)
Le Nom De L'Entreprise,Corporate Name
Numéro d'entreprise enregistré,RC Number
Affichez,View
L'Actionnaire,Shareholder
L'Historique de l'Emploi du Client,Customer Employment History
Nom de l'Employeur,Employer Name
Adresse De L'Employeur Adresse,Employer Address
Téléphone de Bureau,Office Phone
Date D'emploi,Employment Date
Les Antécédents Professionels,Employment History
Le Nom de Directeur,Director Name
Type de Relation,Relationship Type
La Partie Liée d'Initié,Insider Related Party
Le Titre du Document,Document Title
Saisissez,Type
Le Numéro de Fichier,File Number
L'Emplacement Physique,Physical Location
Les Téléchargements,Uploads
Numéro de Compte,Account Number
Produit,Product
L'État Du Compte,Account Status
Devise,Currency
Le Solde du Grand Livre,Ledger Balance
Le Solde Disponible,Available Balance
A Découvert,Has Overdraft
A Privilège,Has Lien
Les Informations de Compte,Account Information
Retour,Back
Téléchargez Le Rapport du Bureau de Crédit,Upload Credit Bureau Report
Retour À La Recherche,Back To Search
Le Titre du Document:,Document Title:
Le Propriétaire Bénéficiaire Ultime de,Ultimate Beneficial owner(s) of
Le Propriétaire Bénéficiaire Ultime de,Ultimate Beneficial Owners
Le Client lié au Directeur,Director Related Customer
Fermez,Close
L'Information du Client,Customer Information
Ajoutez Un Nouveau Client,Add New Customer
Le Client Existant,Existing Customer
Le Client Potentiel,Prospective Customer
La Succursale de Client,Customer Branch
Type de client,Customer Type
Sélectionnez Le Type,-- Select Type --
Code de Client,Customer Code
Le Statut Juridique de CRMS,Crms Legal Status
Sélectionnez L'Statut Juridique,--- Select Legal Status ---
Le Type de Relation Crms,Crms Relationship Type
--- Sélectionnez le Type de relation ---,--- Select Relationship Type ---
La Taille de l'Entreprise CRMS,Crms Company Size
--- Sélectionnez La Taille de l'Entreprise ---,--- Select Company Size ---
Responsable de compte,Account Officer
--- Sélectionnez Agent de compte ---,--- Select Account Officer ---
Titre,Title
Sélectionnez l'Intitulé,--- Select Title ---
Sexe,Gender
--- Sélectionnez le sexe ---,--- Select Gender ---
2ème nom,Middle Name
Client BVN,Customer BVN
Nom De Famille,Last Name
Lieu de Naissance,Place of Birth
adresse courriel,Email Address
Numéro d'identification fiscale,TIN
État civil,Marital Status
Sélectionnez L'État Civil,--- Select Marital Status ---
Conjoint,Spouse
Le Nom De Jeune Fille,Maiden Name
Ajoutez Enfant(s),Add Child(ren)
Le Pays D'Origine,Country Of Origin
Sélectionnez un pays,-- Select Country --
L'Unité D'Affaires,Business Unit
Sélectionnez L'Unité D'Affaires,--- Select Business Unit ---
Les Obligations en souffrance,Past Due Obligations
La possession,Ownership
Le Pays De Résidence,Country Of Residence
Le Nombre De Personnes À Charge,Number Of Dependents
Le Nombre De Prêts Contractés,Number Of Loans Taken
Remboursement Mensuel Du Prêt Auprès D'Autres Banques,Loan Monthly Repayment From Other Banks
La Date De La Relation Avec La Banque,Date Of Relationship With The Bank
Le Type De Relation Avec La Banque,Relationship Type With The Bank
Emprunt,Borrowing
Non emprunt,Non borrowing
L'équipe de LDR,Team LDR
L'équipe de NPL,Team NPL
Le Nom Du Signataire,Name Of Signatory
Le Numéro de Vérification Bancaire du Signataire,BVN Of Signatory
Le Numéro De Téléphone Du Signataire,PhoneNumber Of Signatory
Le Courriel Du Signataire,Email Of Signatory
L'Adresse Du Signataire,Address Of Signatory
Secteur,Sector
Sélectionnez le Secteur,-- Select Sector --
Le Sous-Secteur,Sub-Sector
Sélectionnez un sous-secteur,---Select Subsector---
Politiquement Exposé,Politically Exposed
Obtenez Le Solde Du Compte,Get Account Balance
Numéro d'enregistrement,Registration Number
Le Nom De L'Entreprise,Corporate Name
Site Web de l'Entreprise,Company Website
Messagerie De L'Entreprise.,Company Email
Bureau d'inscription,Registered Office
Chiffre d'affaires annuel,Annual Turn Over
Capital Versé,Paid Up Capital
Capital Autorisé,Authorized Capital
Le Fonds d'Actionnaires,Shareholders Fund
Ajoutez une adresse,Add Address
Les Informations d'Adresse de Contact,Contact Address Information
Modifiez,Edit
Supprimez,Delete
Ajoutez Un Contact Téléphonique,Add Phone Contact
,MobileNumber
Ajoutez Un Nouveau Directeur,Add New Director
Le Directeur,Directors
Ajoutez un nouveau Signataire,Add New Signatory
Le Directeur / Le Signataire,Director/Signatory
Ajoutez Un Nouveau Fournisseur,Add New Supplier
Ajoutez Un Nouveau Client,Add New Client
Client Plus proche Parent,Customer Next of Kin
Nom De Famille,Last Name
Sexe,Gender
Relation,Relationship
Date De Naissance,Date Of Birth
Le plus proche Parent,Next of Kin
Suivant,Next
Précédent,Previous
Mise à Jour Les Informations du Client,Update Customer Information
Retour À La Recherche,Back To Search
Prénom,First Name
Nom De Famille,Last Name
Le Nom De L'Entreprise,Corporate Name
Numéro d'entreprise enregistré,RC Number
Autres noms,Other Names
Personne De Contact,Contact Person
Est un client de la banque,Is Bank Customer
Le Nom de la Banque,Bank Name
Numéro de Compte,Account Number
Entrez le Numéro de Compte,Enter Account Number
Numéro d'identification fiscale,TIN
Numéro De Téléphone,Phone Number
Courriel,Email
La Nature De L'Entreprise,Nature Of Business
Adresse,Address
Enregistrez,Save
Numéro d'identification,Identification No
Mode d'Identification,Identification Mode
-- Sélectionnez le Mode d'identification --,-- Select Identification Mode --
Bureau De Délivrance,Issuing Office
L'Autorité De Délivrance,Issuing Authority
Nom de famille,Surname
Numéro de Vérification Bancaire,Bank Verification Number
Validité,Validity
Politiquement Exposé,Politically Exposed
Enregistrez,Save
Est Concernant L'Employeur?,Is Employer Related?
Les Employeurs Approuvés,Approved Employers
-- Sélectionnez L'Employeur --,-- Select Employer --
Nom de l'Employeur,Employer Name
Adresse De L'Employeur Adresse,Employer Address
Pays de l'employeur,Employer Country
État de l'employeur,Employer State
--- Sélectionnez l'État ---,--- Select State ---
Téléphone de Bureau,Office Phone
Date D'emploi,Employment Date
L'Employeur Précédent,Previous Employer
Actif,Active
Autres noms,Other Names
BVN,BVN
Toute PIÈCE D'IDENTITÉ valide,Any Valid ID
Le Type D'Actionnaire,Shareholder Type
-- Sélectionnez le Type d'actionnaire --,-- Select Shareholder Type --
Toute PIÈCE D'IDENTITÉ valide,Any Valid ID
Numéro de Vérification Bancaire,Bank Verification Number
% De participation,% Shareholding
Ajouter Ultime Propriétaire bénéficiaire(s),Add Ultimate Beneficial Owner(s)
-- Sélectionnez le Type d'adresse --,-- Select Address Type --
État,State
-- Sélectionnez l'État --,-- Select State --
Sélectionnez la zone de gouvernement locale,-- Select LGA --
Le Plus Proche Point De Repère,Nearest Landmark
Ville,City
Sélectionnez La Ville,-- Select City --
Le Numéro de Facture de Services publics / AVR,Utility Bill Number / AVR
Adresse Postale,Mailing Address
Adresse de Contact,Contact Address
La Date de naissance,Date of Birth
Ville / Ville,City/Town
Relation,Relationship
Sexe,Gender
Les Téléchargements d'Informations Client,Customer Information Uploads
-- Sélectionnez le type de téléchargement --,-- Select Upload Type --
Le Titre de Téléchargement,Upload Title
Sélectionnez un document,Select Document
Téléchargez le fichier,Upload file
Téléchargez,Upload
Ajoutez Enfant(s),Add Child(ren)
Le Nom de l'Enfant du Client,Customer Child Name
La Date De Naissance de L'Enfant,Child Date Of Birth
Numéro de série,S/No
Le Nom d'Enfant,Child Name
La Date de naissance,Date of Birth
Ajoutez au moins deux enfants,Add at least two children
Enregistrez,Save
Ajouter Ultime Propriétaire bénéficiaire(s),Add Ultimate Beneficial Owner(s)
BVN,BVN
Ajoutez À La Liste,Add To List
Supprimez,Remove
Recherchez un client chez Flexcube,Search Customer from Flexcube
Les Administrateurs de L'Entreprise,Company Directors
Sélectionnez le Directeur,-- Select Director --
Type de Relation,Relationship Type
Solde Du Compte Du Client,Customer Account Balance
Le Solde Du Compte,Account Balance
Les Informations sur le Prêt,Loan Information
Les Informations Générales,General Information
Le Numéro de Référence de l'Application,Application Reference Number:
Le Gestionnaire de Relation Bancaire,Relationship Manager:
Chef d'Entreprise:,Business Manager:
Montant:,Amount:
La Date De La Demande:,Application Date:
Qualité d'investissement:,Investment Grade:
,&apos;Yes&apos; : &apos;No&apos;
Le Statut D'Approbation:,Approval Status:
L'État De La Demande:,Application Status:
Soumis Pour Évaluation:,Submitted For Appraisal:
Le Profil de l'Organisation / de la Direction:,Organisation/Management Profile:
Le Détail de la Garantie:,Collateral Detail:
Le But de Crédit:,Facility Purpose:
Prendre Des Cours De Prêt:,Take Over Loan:
Est lié à l'employeur,Is Employer Related
L'Employeur,Employer
Nom Du Produit,Product Name
Ténor,Tenor
Taux,Rate
Montant,Amount
Taux de Change,Exchange Rate
Affichez Les Détails,View Details
Modifiez les Détails,Modify Details
Les Informations sur la Demande Approuvée,Approved Application Information
Détails de la demande de prêt,Loan Application Details
Le Nom de Débiteur:,Obligor Name:
La Devise:,Currency:
Le Produit Proposé:,Proposed Product:
Le Produit Recommandé:,Recommended Product:
Le Montant Proposé:,Proposed Amount:
Le Montant Recommandé:,Recommended Amount:
Le Ténor Proposé:,Proposed Tenor:
Le Ténor Recommandé:,Recommended Tenor:
Le Tarif Proposé:,Proposed Rate:
Le Taux Recommandé:,Recommended Rate:
Le Remboursement du Capital:,Principal Repayment:
Les Remboursement des Intérêts:,Interest Repayment:
Moratoire,Moratorium
Les Informations sur la Demande de Prêt Syndiqué,Syndicated Loan Application Information
Le Code de la Banque,Bank Code
Le Nom de la Banque,Bank Name
Le Nom Principal,Principal Name
Le Numero de la Facture,Invoice No
La Date de la Facture,Invoice Date
Devise de la facture,Invoice Currency
Date de Début Du Contrat,Contract Start Date
Date De Fin Du Contrat,Contract End Date
Le Montant De La Facture,Invoice Amount
Affichez La Facture,View Invoice
Nombre D'Élèves,Number Of Students
La Moyenne Des Frais De Scolarité,Average School Fees
Total Des Frais de Scolarité Pour les Trimestres Précédents,Total Previous Term School Fees
Nom du Marché,Market Name
Chiffre D'Affaires Mensuel Moyen,Average Monthly Turnover
Affichez le document,View Document
Évaluation des Crédits,Facility Rating
La Probabilité De Défaut,Probability Of Default
Remarque,Remark
Modifiez Les Détails Pour:,Edit Details For:
2ème nom,Middle Name
Nationalité,Nationality
Gestionnaire de Relations,Relationship Manager
--- Sélectionnez Agent de Relation ---,--- Select Relationship Officer ---
Oui,Yes
Non,No
Modifiez,Edit
Partie liée,Related Party
Personne De Contact,Contact Person
Ajouter Ultime Propriétaire bénéficiaire(s),Add Ultimate Beneficial Owner(s)
Numéro de téléphone à domicile:,Home Phone No:
Numéro de téléphone portable:,Mobile Phone No:
Type d'Adresse,Address Type
Ville,Town/City
Numéro de compteur électrique,Electric Meter Number
L'Adresse Du Client,Customer Address
Type de téléchargement,Upload Type
Supprimez,Remove
Maximum de Quatre enfants,Maximum of Four Children
Recherchez un client de Finnacle,Search Customer from Finnacle
Saisissez votre paramètre de recherche ...,Type in your search parameter ...
Saisissez votre paramètre de recherche,Type in your search parameter
Documents À Télécharger,Documents For Upload
Nom de Classe de Produit,Product Class Name
Nom du Type de Document,Document Type Name
Nom du secteur,Sector Name
Nom du sous-secteur,Sub-Sector Name
Est Nécessaire,Is Required
Est téléchargé,Is uploaded
Est la copie originale,Is Original Copy
-- Sélectionnez la catégorie de document --,-- Select Document Category --
Sélectionnez le Type de document,Select Document Type
Date De Publication,Issue Date
Date d'expiration,Expiry Date
,DateTime Uploaded
Téléchargé Par,Uploaded By
,Date / Time Deleted
Supprimé Par,Deleted By
Les Actions,Actions
Renvoyez,Refer Back
Baisse,Decline
Approuvez,Approve
Niveau cible / Personnel,Target Level / Staff
-- Sélectionnez le personnel / Niveau --,-- Select Staff / Level --
Commentaire,Comment
Erreur,Error
Envoyez,Send
Nom du personnel,Staff Name
Niveau d'Approbation,Approval Level
Statut,Status
État,State
Exportez vers Excel,Export to Excel
De: Nom du personnel,From : Staff Name
De: Niveau d'approbation,From : Approval Level
À: Nom du personnel,To : Staff Name
À: Niveau d'approbation,To : Approval Level
Heure d'arrivée,Arrival Date Time
Date Et Heure de Réponse,Response Date Time
Imprimer,Print
AVEC:,WITH:
AU NIVEAU:,AT LEVEL:
Route,Route
Dérouter,Re-route
Route prédéfinie,Preset Route
Réacheminer le flux de travail,Re-Route Workflow
Le personnel,Staff
-- Sélectionnez le personnel --,-- Select Staff --
Recherche le Personnel,Search Staff
Code du personnel,Staff Code
2ème nom,Middle Name
Préréglage de l'itinéraire,Preset-route
Processus Suivant,Next Process
-- Sélectionnez Processus --,-- Select Process --
Niveau d'Approbation Finale,Final Approval Level
-- Sélectionnez le Niveau d'approbation --,-- Select Approval Level --
Enregistrer le préréglage,Save Preset
Dérouter,Re-route
Opération,Operation
-- Sélectionnez l'opération --,-- Select Operation --
Erreur,Error
Légende,Caption
Définissez les Détails de la Légende,Set Caption Details
Date,Date
Affichez la Légende Financière Liée,View Mapped Financial Caption
Année de Déclaration,Reporting Year
Groupe de légende FS,FS Caption Group
--- Sélectionnez le groupe de légendes FS ---,--- Select FS Caption Group ---
Légendes FS non Mappées,Unmapped FS Captions
Nom de la légende FS,FS Caption Name
Légende parent FS,Parent FS Caption
Catégorie de Compte,Account Category
Légendes FS Mappées,Mapped FS Captions
Nom de la légende FS,FS Caption Name
FS Date,FS Date
Financières Légende Montants,Set Financial Caption Amounts
Cartographie,Map
Légende FS,FS Caption
Enregistrez les détails de la légende FS,Save FS Caption Detail
Génération de Lettre d'Offre,Offer Letter Generation
Numéro de Référence du Prêt,Loan Reference Number
Type de Prêt,Loan Type
Débiteur,Obligor
Montant du Prêt,Loan Amount
La Date De La Demande,Application Date
Affichez,View
Affichez Les Détails,View Details
Générez la lettre d'offre originale,Generate Original Offer Letter
imprimez,print
Affichez Les Mises À Jour,View Updates
Note d'évaluation de Crédit BCC,BCC Credit Appraisal Memorandum
Affichez La Lettre D'Offre,View Offer Letter
Retourner,Go Back
Mises à jour,Updates
Commencé à partir de,Intiated From
Niveau d'Approbation de l'Initiateur,Initiator Approval Level
Dirigé Vers,Directed To
Niveau d'Approbation de la Réponse,Response Approval Level
Date d'arrivée,Date of Arrival
Date de la Réponse,Date of Response
Lettre D'Offre Générée,Generated Offer Letter
Renvoyez,Refer Back
commentaires,Comments
Cible Personnel / Niveau,Target Staff / Level
Recherche pour le Prêt,Search for Loan
Recherche Pour La Succursale,Search For Branch
Code De La Succursale,Branch Code
Nom de l'État,State Name
Le Type de Crédit,Facility Type
Limite Existante,Existing Limit
Limite Proposée,Proposed Limit
Changement,Change
Encours,Outstandings
Obligations en souffrance Principal,Past Due Obligations Principal
Obligations En souffrance Intérêts,Past Due Obligations Interest
Date De Révision,Review Date
État Des Prêts,Loan Status
Les détails,details
Enregistrez,Save
Dynamique des Transactions,Transaction Dynamics
Modifications non enregistrées,Unsaved changes
Dynamique des transactions de prêt,Loan Transaction Dynamics
Commander,Ordering
Dynamique,Dynamics
La Dynamique Externe,External Dynamics
Garantie proposée,Proposed Collateral
Détail de la garantie,Collateral Detail
Valeur de la garantie,Collateral Value
Estampillé Pour Couvrir,Stamped To Cover
Historique des Garanties Proposées,Proposed Collateral History
Estampillé Pour Couvrir Le Montant,Stamped To Cover Amount
Enregistrer et Fermer,Save and Close
Annulez,Cancel
Commentaire Supplémentaire,Additional Comment
Commentaire Supplémentaire,Additional Comment
Les consultants,Consultants
Nom du Consultant,Consultant Name
Consultant En Matière De Prêt,Loan Consultant
Consultant Accrédité,Accredited Consultant
Sélectionnez un Consultant,-- Select Consultant --
Surveillance des déclencheurs,Monitoring Triggers
Déclencheur,Trigger
Ajoutez un déclencheur,Add Trigger
Ajoutez un Déclencheur Existant,Add Existing Trigger
Enregistrez les Changements Déclencheurs de Surveillance,Save Monitoring Triggers Changes
Déclencheur de Surveillance,Monitoring Trigger
Surveillance des déclencheurs,Monitoring Triggers
Modalités du Calendrier de Remboursement,Repayment Schedule Terms
L'échéancier,Schedule
Terme,Terms
Calendrier Des Modalités de Remboursement,Schedule Repayment Terms
-- Sélectionnez le Modèle de Remboursement du Principal--,-- Select Principal Repayment Pattern--
Jeton d'authentification,Authentication Token
Le Code D'Accès,Pass Code
Authentifiez,Authenticate
Le Solde Du Compte,Account Balance
Nom De Compte :,Account Name :
Numéro de Compte :,Account Number :
Le Solde Du Compte :,Account Balance :
Nom Du Produit :,Product Name :
L'État Du Compte :,Account Status :
Code Client :,Customer Code :
Produit :,Product :
Type de Produit :,Product Type :
Le Type de Devise :,Currency Type :
Statut De Gel :,Freeze Status :
raison de gel:,freeze Reason :
Date de la Dernière Transaction :,Last Transaction Date :
Détails de Crédit,Facility Details
Numéro de Référence:,Reference Number:
Dernière Opération,Last Operation
Type de Produit,Product Type
Nom du Compte du Produit,Product Account Name
Date D'Entrée En Vigueur,Effective Date
Chef des Affaires,Business Manager
Date d'Échéance,Maturity Date
Montant,Amount
Taux D'Intérêt(%),Interest Rate(%)
Nom du secteur,Sector Name
Principal Impayé,Outstanding Principal
Nom du sous-secteur,Sub-Sector Name
Fréquence de principale,Principal Frequency
,Interest Frequencyuency
Devise,Currency
Date du premier versement du capital,First Principal Payment Date
Date du premier versement des intérêts,First Interest Payment Date
Taux de Change,Exchange Rate
Ténor,Tenor
La Date De Réservation,Booking Date
Intérêt accru:,Accrued Interest:
Intérêts sur les intérêts en souffrance,Interest On Past Due Interest
Intérêts Sur Le Capital En Souffrance,Interest On Past Due Principal
Remboursement total,Total Repayment
Passé En Raison De L'Intérêt,Past Due Interest
Principal en souffrance,Past Due Principal
Solde Impayé Total,Total Outstanding Balance
Passé En Raison Des Jours,Past Due Days
But de Crédit,Facility Purpose
Montant Comptabilisé en pertes,Written-off Accrual Amount
Détails de Contrat,Covenant Details
Détails de Contrat,Covenant Details
Pacte,Covenant
Fréquence,Frequency
Détails des frais,Fees Details
Détails des frais,Fees Details
Nom des frais de facturation,Charge Fee Name
Montant des frais,Fee Amount
Intervalle de Frais,Fee Interval
Taux(%),Rate(%)
Détails de la garantie,Collateral Details
Code,Code
Type de Garantie,Collateral Type
Valeur,Value
Décote,Haircut
Valeur de Sécurité,Security Value
Détails De L'échancier,Schedule Details
Date de Paiement,Payment Date
Démarrez le principal,Start Principal
Montant Périodique,Periodic Amount
Le montant principal,Principal Amount
Montant des Intérêts,Interest Amount
Solde,Balance
AM Commencer Principal,AM Start Principal
AM Montant Périodique,AM Periodic Amount
AM Montant Principal,AM Principal Amount
AM Montant des Intérêts,AM Interest Amount
SUIS Balance,AM Balance
Code du CRMS de CBN,CBN CRMS Code
Ajoutez Le Code,Add Code
Code De Réinitialisation,Reset Code
Date de début,Start Date
Date de Fin,End Date
Obtenez Des Crédits,Get Facilities
Code du CRMS de CBN,CBN CRMS Code
Bénéficiaire,Beneficiary
La Somme Allouée,Granted Amount
Taux D'Intérêt,Interest Rate
Date D'Entrée En Vigueur,Effective Date
Exportation de Rapport sur les Crédit du CBN,CBN Facilities Report Export
Code du CRMS de CBN,CBN CRMS Code
Date de début,Start Date
Date de Fin,End Date
Type de Modèle,Template Type
-- Sélectionnez le Type de modèle --,-- Select Template Type --
Modèle 400,Template 400 A
Modèle 400 B,Template 400 B
Exportez Vers Excel,Export To Excel
CHARGEMENT EN COURS,LOADING
Recherche De Comptes,Account Search
Numéro / nom du compte,Account Number / Name
Résultat de la Recherche,Search Result
,&apos;Yes&apos;
,&apos;No&apos;
Numéro de Compte du Produit:,Product Account Number:
Nom du compte de produit:,Product Account Name:
Niveau de Sensibilité du Client:,Customer Sensitivity Level:
Solde du grand livre:,Ledger Balance:
Solde Disponible:,Available Balance:
Code De Produit:,Product Code:
Ténor:,Tenor:
A un privilège:,Has Lien:
Nom Du Produit:,Product Name:
Taux D'Intérêt:,Interest Rate:
Montant du privilège:,Lien Amount:
Code de la succursale:,Branch Code:
Date D'Entrée En Vigueur:,Effective Date:
A Découvert:,Has Overdraft:
Nom de la Succursale:,Branch Name:
Date Terminale:,Terminal Date:
Montant du découvert:,Overdraft Amount:
Est le compte courant:,Is Current Account:
Action Par:,Action By:
Taux d'intérêt de découvert:,Overdraft Interest Rate:
Statut du compte:,Account Status:
Date De L'Action:,Action Date:
Date d'Expiration du Découvert:,Overdraft Expiry Date:
Code de SIG (Système d’Information de Gestion):,MIS Code:
Opération:,Operation:
Publiez aucun statut:,Post No Status:
Numéro Ancien de Compte Produit:,Old Product Account Number:
La Recherche De Client,Customer Search
-- Sélectionnez le Type de Client --,-- Select Customer Type --
- Sélectionnez une succursale -,-- Select Branch --
Résultat de la Recherche,Search Result
Modifiez Les Détails Du Client Pour:,Edit Customer Details For:
Personnel du SIG:,MIS Staff:
Date de la mise en œuvre:,Date Acted On:
Agi Par:,Acted On By:
Nombre D'Impôts:,Tax Number:
Actif:,Active:
,&quot;Yes&quot;
,&quot;No&quot;
Titre,Title
Sexe,Gender
Prénom,First Name
Date De Naissance,Date Of Birth
2ème nom,Middle Name
Lieu de Naissance,Place of Birth
Nom De Famille,Last Name
Nationalité,Nationality
Profession,Occupation
Numéro d'identification fiscale,Tax Number
État civil,Marital Status
Conjoint,Spouse
Nom du premier enfant:,First Child Name:
Date de naissance de l'enfant,Child Date of Birth
Le Nom De Jeune Fille,Maiden Name
adresse courriel,Email Address
Politiquement Exposé,Politically Exposed
Personnel,Personal
Numéro d'enregistrement,Registration Number
Nom De L'Entreprise,Company Name
Site Web de l'Entreprise,Company Website
Messagerie De L'Entreprise.,Company Email
Bureau d'inscription,Registered Office
Chiffre d'affaires annuel,Annual Turn Over
Catégorie d'entreprise,Corporate Business Category
Capital Versé,Paid Up Capital
Capital Autorisé,Authorized Capital
L'évaluation de Crédit Précédente,Previous Credit Rating
Entreprise,Corporate
Ville natale,Home Town
Modifiez,Edit
Téléphone,Phone
Actionnaire,Shareholders
Informations sur le BVN du client,Customer BVN Information
Valide,Valid
Détails BVN,BVN Details
Numéro d'identification,Identification No
Mode d'Identification,Identification Mode
Bureau De Délivrance,Issuing Office
L'Autorité De Délivrance,Issuing Authority
Identification,Identification
Ajoutez des Informations de Fournisseur / Client,Add Supplier/Client Information
Prénom,First Name
Nom De Famille,Last Name
2ème nom,Middle Name
Type de client,Customer Type
Adresse,Address
Numéro De Téléphone,Phone Number
Courriel,Email
Ajoutez des Informations d'Identification,Add Identification Information
Numéro d'identification,Identification No
Mode d'Identification,Identification Mode
Bureau De Délivrance,Issuing Office
L'Autorité De Délivrance,Issuing Authority
Ajoutez des Informations BVN,Add BVN Information
Nom de famille,Surname
Numéro de Vérification Bancaire,Bank Verification Number
Validité,Validity
Politiquement Exposé,Politically Exposed
Ajoutez Des Informations Sur l'Historique d'Emploi,Add Employment History Information
Nom de l'Employeur,Employer Name
Adresse De L'Employeur Adresse,Employer Address
État de l'employeur,Employer State
Pays de l'employeur,Employer Country
Téléphone de Bureau,Office Phone
Date D'emploi,Employment Date
L'Employeur Précédent,Previous Employer
Actif,Active
